'Pseudois schaeferi',
'Cephalophus maxwellii',
'Cephalophus sylvicultor',
'Addax nasomaculatus',
'Potamochoerus porcus',
'Manis crassicaudata',
'Manis pentadactyla',
'Manis temminckii',
'Aplodontia rufa',
'Callosciurus erythraeus',
'Glaucomys sabrinus',
'Glaucomys volans',
'Sciurillus pusillus',
'Ammospermophilus harrisii',
'Ammospermophilus insularis',
'Ammospermophilus interpres',
'Ammospermophilus leucurus',
'Ammospermophilus nelsoni',
'Cynomys gunnisoni',
'Cynomys leucurus',
'Cynomys ludovicianus',
'Cynomys mexicanus',
'Cynomys parvidens',
'Marmota caligata',
'Marmota flaviventris',
'Marmota monax',
'Marmota olympus',
'Marmota vancouverensis',
'Myosciurus pumilio',
'Sciurus aberti',
'Sciurus alleni',
'Sciurus anomalus',
'Sciurus arizonensis',
'Sciurus carolinensis',
'Sciurus colliaei',
'Sciurus deppei',
'Sciurus granatensis',
'Sciurus griseus',
'Sciurus ignitus',
'Sciurus nayaritensis',
'Sciurus niger',
'Sciurus oculatus',
'Sciurus pucheranii',
'Sciurus pyrrhinus',
'Sciurus richmondi',
'Sciurus spadiceus',
'Sciurus stramineus',
'Sciurus variegatoides',
'Sciurus vulgaris',
'Sciurus yucatanensis',
'Spermophilus adocetus',
'Spermophilus annulatus',
'Spermophilus armatus',
'Spermophilus atricapillus',
'Spermophilus beldingi',
'Spermophilus brunneus',
'Spermophilus citellus',
'Spermophilus columbianus',
'Spermophilus elegans',
'Spermophilus franklinii',
'Spermophilus lateralis',
'Spermophilus madrensis',
'Spermophilus mexicanus',
'Spermophilus mohavensis',
'Spermophilus perotensis',
'Spermophilus richardsonii',
'Spermophilus saturatus',
'Spermophilus spilosoma',
'Spermophilus tereticaudus',
'Spermophilus townsendii',
'Spermophilus tridecemlineatus',
'Spermophilus variegatus',
'Spermophilus washingtoni',
'Spermophilus xanthoprymnus',
'Syntheosciurus brochus',
'Tamias alpinus',
'Tamias amoenus',
'Tamias bulleri',
'Tamias canipes',
'Tamias cinereicollis',
'Tamias dorsalis',
'Tamias durangae',
'Tamias merriami',
'Tamias minimus',
